epoch,total,rec,kl,beta
1,383.088169,380.185615,2.902554,1.0000
2,325.846601,322.052849,3.793752,1.0000
3,304.451379,299.923687,4.527692,1.0000
4,296.492428,291.885705,4.606723,1.0000
5,291.561373,286.853768,4.707606,1.0000
6,288.751540,283.739552,5.011988,1.0000
7,285.892122,280.776168,5.115955,1.0000
8,283.978382,278.741507,5.236875,1.0000
9,282.920623,277.626891,5.293732,1.0000
10,281.322429,275.954029,5.368399,1.0000
11,281.140769,275.729933,5.410837,1.0000
12,280.553217,275.090698,5.462519,1.0000
13,279.568015,274.165479,5.402536,1.0000
14,277.731611,272.172792,5.558819,1.0000
15,277.151794,271.539745,5.612049,1.0000
16,277.104735,271.476675,5.628060,1.0000
17,276.056687,270.482575,5.574112,1.0000
18,275.920809,270.299896,5.620914,1.0000
19,275.005367,269.339007,5.666360,1.0000
20,274.701919,269.016655,5.685264,1.0000
21,274.457513,268.857700,5.599813,1.0000
22,273.534006,267.746324,5.787682,1.0000
23,272.969037,267.161873,5.807164,1.0000
24,273.040504,267.286803,5.753701,1.0000
25,272.809440,267.041683,5.767757,1.0000
26,272.560741,266.749468,5.811273,1.0000
27,272.090656,266.230226,5.860430,1.0000
28,271.800241,265.906999,5.893242,1.0000
29,271.600449,265.750732,5.849717,1.0000
30,271.782210,265.962671,5.819539,1.0000
31,271.328798,265.465485,5.863313,1.0000
32,270.654735,264.704084,5.950651,1.0000
33,270.438315,264.473224,5.965091,1.0000
34,270.096235,264.134773,5.961462,1.0000
35,270.460694,264.538891,5.921803,1.0000
36,269.594014,263.574673,6.019341,1.0000
37,269.928721,263.948361,5.980360,1.0000
38,269.756957,263.829190,5.927767,1.0000
39,269.166819,263.220325,5.946494,1.0000
40,268.518308,262.572482,5.945826,1.0000
41,268.772469,262.766338,6.006131,1.0000
42,269.116671,263.146631,5.970040,1.0000
43,269.275797,263.240205,6.035592,1.0000
44,268.877219,262.860030,6.017189,1.0000
45,268.677444,262.581216,6.096229,1.0000
46,267.869922,261.834731,6.035191,1.0000
47,267.789006,261.758875,6.030130,1.0000
48,268.390416,262.277367,6.113049,1.0000
49,267.812813,261.673052,6.139761,1.0000
50,267.304576,261.063426,6.241150,1.0000
51,266.935043,260.830216,6.104826,1.0000
52,266.888343,260.697657,6.190686,1.0000
53,266.969050,260.718603,6.250447,1.0000
54,266.589170,260.426720,6.162450,1.0000
55,266.575707,260.384155,6.191552,1.0000
56,266.370548,260.188532,6.182017,1.0000
57,265.804897,259.606202,6.198695,1.0000
58,265.753381,259.558436,6.194946,1.0000
59,265.727368,259.452213,6.275155,1.0000
60,266.094837,259.877472,6.217365,1.0000
61,266.013490,259.811577,6.201914,1.0000
62,265.348846,259.144240,6.204605,1.0000
63,265.442718,259.221149,6.221570,1.0000
64,265.002647,258.733926,6.268721,1.0000
65,265.067679,258.776957,6.290722,1.0000
66,264.977266,258.694986,6.282280,1.0000
67,264.556055,258.229693,6.326362,1.0000
68,264.699439,258.356911,6.342528,1.0000
69,264.741939,258.419010,6.322929,1.0000
70,264.743764,258.437208,6.306556,1.0000
71,264.925225,258.669360,6.255865,1.0000
72,264.813545,258.476174,6.337371,1.0000
73,264.324254,257.937112,6.387143,1.0000
74,264.418691,258.101119,6.317572,1.0000
75,263.884086,257.547476,6.336610,1.0000
76,263.496450,257.148187,6.348263,1.0000
