epoch,total,rec,kl,beta
145,122.105468,117.135547,4.969921,1.0000
146,122.108188,117.081831,5.026357,1.0000
147,121.985136,116.975456,5.009681,1.0000
148,122.053161,117.007637,5.045524,1.0000
149,121.912097,116.893592,5.018504,1.0000
150,121.897522,116.807211,5.090311,1.0000
151,121.854891,116.907495,4.947396,1.0000
152,121.865416,116.790886,5.074530,1.0000
153,121.860020,116.861901,4.998119,1.0000
154,121.855294,116.834473,5.020821,1.0000
155,121.997523,116.901784,5.095739,1.0000
156,121.849144,116.852565,4.996579,1.0000
157,121.817441,116.784331,5.033110,1.0000
158,121.849544,116.807860,5.041684,1.0000
159,121.794704,116.685318,5.109386,1.0000
160,121.905413,116.885509,5.019904,1.0000
161,121.931442,116.904156,5.027286,1.0000
162,121.908256,116.854697,5.053559,1.0000
163,121.803853,116.741140,5.062714,1.0000
164,121.889778,116.854887,5.034891,1.0000
165,121.843801,116.715689,5.128112,1.0000
166,121.849538,116.839899,5.009639,1.0000
167,121.903358,116.747035,5.156322,1.0000
168,121.702484,116.665590,5.036894,1.0000
169,121.642539,116.547656,5.094882,1.0000
170,121.702806,116.674649,5.028157,1.0000
171,121.839179,116.754210,5.084969,1.0000
172,121.916322,116.818713,5.097609,1.0000
173,121.577472,116.528863,5.048609,1.0000
174,121.650024,116.545753,5.104272,1.0000
175,121.681496,116.617592,5.063904,1.0000
176,121.749736,116.640023,5.109713,1.0000
177,121.697471,116.629329,5.068142,1.0000
178,121.489041,116.348611,5.140430,1.0000
179,121.488072,116.387458,5.100614,1.0000
180,121.543783,116.472064,5.071718,1.0000
181,121.529636,116.458062,5.071573,1.0000
182,121.420192,116.323730,5.096462,1.0000
183,121.529315,116.413807,5.115508,1.0000
184,121.684718,116.660189,5.024529,1.0000
185,121.509037,116.366383,5.142654,1.0000
186,121.405935,116.209534,5.196402,1.0000
187,121.379221,116.241223,5.137998,1.0000
188,121.694253,116.647293,5.046960,1.0000
189,121.341672,116.230566,5.111106,1.0000
190,121.347662,116.250232,5.097430,1.0000
191,121.584710,116.419622,5.165088,1.0000
192,121.483748,116.415838,5.067910,1.0000
193,121.255584,116.148587,5.106997,1.0000
194,121.383730,116.173971,5.209759,1.0000
195,121.395470,116.212229,5.183241,1.0000
196,121.275544,116.180135,5.095409,1.0000
197,121.184222,116.090784,5.093438,1.0000
198,121.255048,116.102438,5.152609,1.0000
199,121.347005,116.171382,5.175623,1.0000
200,121.327998,116.216654,5.111344,1.0000
201,121.222255,116.029250,5.193005,1.0000
202,121.173984,116.083922,5.090062,1.0000
203,121.263665,116.133369,5.130296,1.0000
204,121.223658,116.034688,5.188970,1.0000
205,121.199247,116.075928,5.123319,1.0000
206,121.352608,116.148820,5.203788,1.0000
207,121.175308,116.010407,5.164901,1.0000
208,121.291129,116.153013,5.138117,1.0000
209,121.256425,116.142386,5.114038,1.0000
210,121.181949,116.039586,5.142362,1.0000
211,121.249132,116.012211,5.236922,1.0000
212,121.312545,116.087216,5.225329,1.0000
213,121.185837,116.041193,5.144644,1.0000
214,121.084052,115.949551,5.134501,1.0000
215,121.053272,115.869150,5.184122,1.0000
216,121.289926,116.096142,5.193784,1.0000
217,121.359803,116.297279,5.062524,1.0000
218,121.227838,116.004195,5.223643,1.0000
219,121.142840,115.998180,5.144660,1.0000
220,121.453040,116.224714,5.228326,1.0000
221,121.185773,116.099608,5.086165,1.0000
222,121.048520,115.819318,5.229202,1.0000
223,121.059123,115.875524,5.183599,1.0000
224,121.118141,115.915488,5.202653,1.0000
225,120.902149,115.648595,5.253554,1.0000
226,120.947756,115.824830,5.122926,1.0000
227,121.014979,115.834296,5.180683,1.0000
228,121.193202,116.013663,5.179539,1.0000
229,121.271511,116.052150,5.219361,1.0000
230,121.030558,115.812423,5.218135,1.0000
231,120.916665,115.704878,5.211787,1.0000
232,120.914210,115.687884,5.226325,1.0000
233,120.911946,115.694336,5.217610,1.0000
234,120.932746,115.678791,5.253955,1.0000
235,120.899544,115.702458,5.197086,1.0000
236,120.823295,115.496521,5.326774,1.0000
237,120.860365,115.668921,5.191444,1.0000
238,120.871367,115.683168,5.188199,1.0000
239,120.904553,115.572936,5.331617,1.0000
240,120.904500,115.744011,5.160489,1.0000
241,120.848149,115.608257,5.239892,1.0000
242,120.931080,115.769121,5.161959,1.0000
243,120.788284,115.493655,5.294629,1.0000
244,120.835062,115.637271,5.197791,1.0000
245,120.836793,115.634469,5.202325,1.0000
246,120.870654,115.652226,5.218428,1.0000
247,120.825904,115.545254,5.280650,1.0000
248,120.902222,115.727454,5.174768,1.0000
249,120.895616,115.572846,5.322770,1.0000
250,120.767400,115.521193,5.246207,1.0000
251,120.923062,115.698239,5.224823,1.0000
252,120.671786,115.462788,5.208998,1.0000
253,120.656474,115.511044,5.145431,1.0000
254,120.717519,115.405498,5.312020,1.0000
255,120.642608,115.402192,5.240416,1.0000
256,120.573693,115.321180,5.252514,1.0000
257,120.635189,115.436618,5.198571,1.0000
258,120.770582,115.510133,5.260449,1.0000
259,120.895906,115.597049,5.298857,1.0000
